What is your university name ?,What is your current level of education?,How often do you use AI tools like ChatGPT  for academic purposes?,How do you think ChatGPT has influenced teaching methods in your courses?,Has ChatGPT influenced your approach to solving complex academic problems or  assignments  ? ,Do you use ChatGPT for group study or collaborative learning ?,Do you feel that AI assists you in self-paced learning ?, Does ChatGPT help improve critical thinking and problem-solving?,"Has ChatGPT provided useful guidance on your career path or educational choices ?",How worried are you about the privacy and safety of your personal data when using AI tools like ChatGPT for academic tasks?,Do you think relying too much on AI tools like ChatGPT could harm students creativity and critical thinking skills?,Do you believe using AI tools like ChatGPT reduces your creativity and critical thinking?,Do you believe AI tools (like ChatGPT) improve your learning experience?
Daffodil international University ,Postgraduate,Daily,It has had no impact on teaching methods,Yes,Yes,Not Sure,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,worried,Strongly agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,worried,Strongly disagree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Not Sure,Yes,Yes,worried,Strongly agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Not Sure,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,Not worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,Somewhat worried,Strongly agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Not Sure,worried,Agree,Yes,Yes
Dhaka International University,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,worried,Strongly agree,Yes,Yes
Bangladesh University of Textiles,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Disagree,Yes,Yes
Daffodil international University ,Postgraduate,Weekly,It has slightly improved teaching methods,Not Sure,Yes,Yes,Yes,Not Sure,worried,Strongly agree,Sometimes,Yes
Bangladesh University of Textiles,Undergraduate,Weekly,It has slightly improved teaching methods,Not Sure,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
daffodil international university,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Not Sure,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,No,Yes,Yes,Yes,Yes,"Somewhat worried, Not worried",Strongly agree,Yes,No
Daffodils international university ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,No,Yes,No,Yes,Somewhat worried,Strongly agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,No
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Maybe
Daffodil international University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Neutral,Sometimes,Maybe
Daffodil international University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,worried,Strongly agree,Sometimes,Yes
Daffodil international University,Undergraduate,Never,I am not sure how it affects teaching methods,Not Sure,Yes,Yes,Yes,Yes,worried,Strongly agree,Sometimes,Yes
Daffodil international University,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Not Sure,Yes,worried,Strongly agree,Sometimes,Yes
Daffodil international University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,Not worried,Agree,Yes,Yes
Daffodil international University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,No,Yes,worried,Agree,Yes,Yes
Daffodil international University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil international University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Maybe
Daffodil international University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
 Daffodil international University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Maybe
Daffodil international University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,worried,Neutral,Yes,Yes
Daffodil international University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Not Sure,worried,Agree,Yes,Yes
Daffodil international University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Not Sure,Yes,worried,Strongly agree,Yes,Maybe
Daffodil international University ,Undergraduate,Daily,It has slightly improved teaching methods,Not Sure,Yes,Yes,Not Sure,Yes,worried,Agree,Yes,Maybe
Daffodil international University,Undergraduate,Daily,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Maybe
Daffodil international University,Undergraduate,Daily,It has improved teaching methods significantly,Not Sure,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international University,Undergraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,Maybe
DiU,Undergraduate,Monthly,I am not sure how it affects teaching methods,Yes,No,No,No,Not Sure,worried,Disagree,Yes,No
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,No,Yes,Yes,Not worried,Strongly agree,Yes,Yes
Daffodil international University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Not Sure,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Not Sure,worried,Agree,Yes,Maybe
Daffodil international University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,No
Daffodil international University ,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,worried,Strongly agree,Yes,Maybe
Daffodil international University,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,No,Yes,Somewhat worried,Disagree,Sometimes,Yes
Daffodil international University,Postgraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Yes,"worried, Not worried",Agree,Sometimes,Yes
Daffodil international University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Not Sure,Yes,worried,Agree,Yes,Yes
Daffodil international University,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Maybe
Daffodil international University,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,worried,Agree,Sometimes,Yes
Daffodil international University,Postgraduate,Daily,It has slightly improved teaching methods,Not Sure,Sometime,Not Sure,Not Sure,Not Sure,"Somewhat worried, Not worried",Strongly disagree,Sometimes,No
Daffodil international University,Postgraduate,Monthly,It has improved teaching methods significantly,Not Sure,Yes,Not Sure,Yes,No,worried,Agree,Sometimes,Yes
Daffodil international University,Postgraduate,Monthly,It has improved teaching methods significantly,Not Sure,No,Yes,No,Yes,worried,Agree,Yes,Maybe
Daffodil international University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Not Sure,Somewhat worried,Strongly agree,Sometimes,Yes
Daffodil international University,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Not Sure,worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Not Sure,Yes,worried,Neutral,Yes,Yes
Daffodil international University,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Neutral,Yes,Yes
Daffodil international University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,Somewhat worried,Disagree,Sometimes,Yes
Daffodil international University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,Somewhat worried,Agree,Yes,Maybe
Daffodil international University,Postgraduate,Daily,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Not Sure,worried,Agree,Yes,Yes
Daffodil international University ,Postgraduate,Weekly,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Maybe
Daffodil international University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,No,Somewhat worried,Neutral,Yes,Maybe
Daffodil international University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Not Sure,Yes,Somewhat worried,Agree,Sometimes,Maybe
Daffodil international University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Maybe
Daffodil international University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,Maybe
Daffodil international University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international University,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,No,Not Sure,Yes,Yes,Not worried,Strongly agree,Sometimes,Maybe
Daffodil international University,Postgraduate,Daily,I am not sure how it affects teaching methods,Yes,Yes,Not Sure,Yes,Not Sure,Somewhat worried,Agree,Sometimes,Maybe
Daffodil international University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,Not worried,Agree,Sometimes,Yes
Daffodil international University,Postgraduate,Daily,I am not sure how it affects teaching methods,Yes,Yes,Not Sure,Yes,Yes,worried,Strongly agree,Yes,Maybe
Daffodil international University,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Not worried,Agree,Sometimes,Yes
Daffodil international University,Postgraduate,Weekly,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Not Sure,worried,Neutral,Sometimes,Maybe
Daffodil international University,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,No,Yes,Not Sure,worried,Disagree,Yes,Maybe
Daffodil international University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Not Sure,worried,Neutral,No,Yes
Daffodil international University,Undergraduate,Weekly,It has slightly improved teaching methods,Not Sure,Sometime,Yes,Yes,Yes,worried,Strongly disagree,Sometimes,Yes
Daffodil international University,Postgraduate,Daily,It has improved teaching methods significantly,Not Sure,Yes,Not Sure,Yes,Yes,Somewhat worried,Neutral,Yes,Yes
jahangirnagar university,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Not Sure,worried,Strongly agree,Yes,Yes
jahangirnagar university,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,worried,Agree,Sometimes,No
jahangirnagar university,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,No,worried,Agree,Sometimes,Yes
jahangirnagar university,Undergraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
jahangirnagar university,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
jahangirnagar university,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
jahangirnagar university,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
jahangirnagar university,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,worried,Strongly agree,Sometimes,Yes
jahangirnagar university,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,worried,Strongly agree,Sometimes,Yes
jahangirnagar university,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
jahangirnagar university,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,worried,Agree,Sometimes,Yes
City University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Disagree,Sometimes,Yes
City University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
City University,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Not Sure,Yes,Somewhat worried,Strongly disagree,Sometimes,Maybe
City University,Postgraduate,Daily,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
City University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,No
City University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,worried,Agree,Yes,Maybe
City University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Not Sure,Not worried,Strongly agree,Yes,Yes
City University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,No,worried,Agree,Sometimes,Maybe
 City University,Undergraduate,Weekly,It has slightly improved teaching methods,Not Sure,Yes,Yes,Yes,Not Sure,worried,Neutral,Yes,Yes
City University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,worried,Agree,Yes,Yes
City University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,worried,Agree,Sometimes,Yes
City University,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
City University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,No,Yes,No,worried,Agree,No,Yes
City University,Postgraduate,Weekly,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
City University,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Yes,Not Sure,Yes,worried,Agree,Sometimes,Yes
City University,Postgraduate,Daily,It has improved teaching methods significantly,Not Sure,Yes,Yes,No,Yes,worried,Agree,Yes,Yes
City University,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Sometimes,Yes
City University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
City University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,worried,Agree,Yes,Yes
